Rep	Year	RepSeason	NInds	NInd_stage1	NInd_stage2	NJuvs	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	6750	4500	2250	10570	1668	0.251546	0	1290	10	2570
0	1	0	9444	7077	2367	13157	1532	0.231036	0	1290	10	2570
0	2	0	10441	7588	2853	13890	1571	0.236918	0	1290	10	2550
0	3	0	11269	7879	3390	14243	1679	0.253205	0	1290	10	2550
0	4	0	12127	8254	3873	15605	1808	0.272659	0	1290	10	2550
0	5	0	13026	8898	4128	16954	1985	0.299352	0	1290	10	2550
0	6	0	13905	9540	4365	18719	2178	0.328457	0	1290	10	2550
0	7	0	14753	10178	4575	19899	2352	0.354698	0	1290	10	2550
0	8	0	15667	10819	4848	21900	2496	0.376414	0	1290	10	2550
0	9	0	16266	11363	4903	23145	2661	0.401297	0	1290	60	2540
0	10	0	17118	12035	5083	24772	2797	0.421807	0	1290	80	2540
0	11	0	17665	12592	5073	25785	2912	0.439149	0	1290	80	2540
0	12	0	18351	12997	5354	26421	3014	0.454532	0	1290	80	2550
0	13	0	18644	13253	5391	27377	3099	0.46735	0	1290	80	2550
0	14	0	19246	13905	5341	28858	3187	0.480621	0	1290	80	2550
0	15	0	19899	14480	5419	30490	3296	0.497059	0	1290	80	2550
0	16	0	20103	14666	5437	30078	3322	0.50098	0	1290	80	2550
0	17	0	20359	14890	5469	30614	3398	0.512442	0	1290	80	2550
0	18	0	20640	15168	5472	31233	3472	0.523601	0	1290	80	2550
0	19	0	20905	15295	5610	31526	3541	0.534007	0	1290	80	2570
0	20	0	21035	15479	5556	32372	3574	0.538984	0	1290	80	2570
0	21	0	21185	15689	5496	32865	3612	0.544714	0	1290	80	2570
0	22	0	21612	15927	5685	33833	3645	0.549691	0	1290	80	2570
0	23	0	21779	16105	5674	33897	3668	0.553159	0	1290	80	2570
0	24	0	22145	16445	5700	33954	3663	0.552405	0	1290	90	2570
0	25	0	21684	15977	5707	33418	3684	0.555572	0	1290	90	2570
0	26	0	21922	16197	5725	33825	3733	0.562962	0	1290	90	2570
0	27	0	22002	16158	5844	33483	3676	0.554366	0	1290	90	2570
0	28	0	22048	16241	5807	33780	3690	0.556477	0	1290	90	2570
0	29	0	21993	16185	5808	33914	3704	0.558588	0	1290	90	2570
0	30	0	22013	16167	5846	33983	3681	0.55512	0	1290	90	2570
0	31	0	22044	16159	5885	33953	3735	0.563263	0	1290	90	2570
0	32	0	22166	16367	5799	34173	3782	0.570351	0	1290	90	2570
0	33	0	22241	16420	5821	35241	3803	0.573518	0	1290	80	2570
0	34	0	22444	16671	5773	35148	3813	0.575026	0	1290	80	2570
0	35	0	22414	16758	5656	35276	3803	0.573518	0	1290	80	2570
0	36	0	22413	16689	5724	34483	3748	0.565224	0	1290	80	2570
0	37	0	22137	16496	5641	34176	3779	0.569899	0	1290	80	2570
0	38	0	22342	16559	5783	35003	3766	0.567938	0	1290	80	2570
0	39	0	22345	16608	5737	34717	3745	0.564772	0	1290	80	2570
0	40	0	22355	16411	5944	34997	3803	0.573518	0	1290	80	2570
0	41	0	22365	16620	5745	34842	3798	0.572764	0	1290	80	2570
0	42	0	22484	16696	5788	35075	3832	0.577892	0	1290	80	2570
0	43	0	22588	16761	5827	35480	3827	0.577138	0	1290	80	2570
0	44	0	22502	16652	5850	35555	3843	0.579551	0	1290	90	2570
0	45	0	22558	16771	5787	34741	3759	0.566883	0	1290	50	2570
0	46	0	22469	16586	5883	35003	3807	0.574122	0	1290	50	2570
0	47	0	22432	16602	5830	35217	3805	0.57382	0	1290	50	2570
0	48	0	22233	16399	5834	34010	3758	0.566732	0	1290	50	2570
0	49	0	22279	16467	5812	34848	3785	0.570804	0	1290	50	2570
0	50	0	22295	16585	5710	0	3772	0.568843	0	1290	50	2570
1	0	0	6750	4500	2250	10578	1668	0.251546	0	1290	220	2570
1	1	0	9443	7071	2372	13405	1523	0.229679	0	1290	220	2570
1	2	0	10763	7869	2894	14689	1634	0.246418	0	1290	220	2570
1	3	0	11892	8494	3398	15855	1813	0.273413	0	1290	220	2570
1	4	0	12878	9013	3865	16953	2005	0.302368	0	1280	220	2570
1	5	0	14018	9692	4326	18231	2196	0.331172	0	1290	220	2570
1	6	0	15052	10418	4634	20348	2376	0.358317	0	1290	220	2570
1	7	0	15971	11183	4788	22513	2598	0.391796	0	1290	220	2570
1	8	0	17032	12073	4959	24360	2748	0.414417	0	1290	220	2570
1	9	0	18013	12823	5190	26015	2927	0.441412	0	1290	390	2570
1	10	0	18782	13374	5408	27655	3145	0.474287	0	1290	390	2570
1	11	0	19710	14261	5449	29302	3294	0.496758	0	1290	390	2570
1	12	0	20160	14674	5486	30279	3396	0.51214	0	1290	390	2570
1	13	0	20669	15074	5595	31057	3442	0.519077	0	1290	390	2570
1	14	0	21069	15513	5556	32345	3521	0.530991	0	1290	390	2570
1	15	0	21325	15738	5587	32421	3554	0.535967	0	1290	390	2570
1	16	0	21530	15816	5714	33575	3678	0.554667	0	1290	390	2570
1	17	0	21815	16010	5805	33813	3685	0.555723	0	1290	390	2570
1	18	0	21961	16242	5719	34244	3738	0.563716	0	1290	390	2570
